@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 {0,1,2}

@data
231,'2022/02/21 13:16:42:500',2,50.91169,330.492065,336.429779,2
232,'2022/02/21 13:16:42:599',2,54.147945,319.662323,361.845276,2
233,'2022/02/21 13:16:42:697',2,71.112587,310.438385,376.89389,2
234,'2022/02/21 13:16:42:797',2,71.063354,313.178864,372.72644,2
235,'2022/02/21 13:16:42:896',2,80.099937,312.833832,368.435883,2
236,'2022/02/21 13:16:42:994',2,85.440041,303.797638,372.151855,2
237,'2022/02/21 13:16:43:094',2,98.979797,304.138123,381.257141,2
238,'2022/02/21 13:16:43:194',2,98.716766,314.505951,383.803345,2
239,'2022/02/21 13:16:43:292',2,100.767059,305.910126,400.151215,2
240,'2022/02/21 13:16:43:392',2,99.035347,299.202271,393.418365,2
241,'2022/02/21 13:16:43:491',2,88.005684,306.634949,385.538574,2
242,'2022/02/21 13:16:43:590',2,96.260063,300.53952,393.814667,2
243,'2022/02/21 13:16:43:689',2,89.872131,307.275116,394.062164,2
244,'2022/02/21 13:16:43:787',2,95.524864,306.132324,397.84671,2
245,'2022/02/21 13:16:43:889',2,100.404182,300.958466,400.281158,2
246,'2022/02/21 13:16:43:987',2,99.809822,292.027405,391.829041,2
247,'2022/02/21 13:16:44:087',2,104.307236,287.626495,386.855255,2
248,'2022/02/21 13:16:44:186',2,115.62439,302.411957,403.514557,2
249,'2022/02/21 13:16:44:284',2,95.603348,313.231537,383.835907,2
250,'2022/02/21 13:16:44:382',2,115.83609,339.02951,394.442657,2
251,'2022/02/21 13:16:44:481',2,88.865067,346.88327,381.844208,2
252,'2022/02/21 13:16:44:580',2,101.434708,356.387421,393.721985,2
253,'2022/02/21 13:16:44:801',2,106.677086,366.427338,406.1539,2
254,'2022/02/21 13:16:44:877',2,119.436172,370.437592,416.486481,2
255,'2022/02/21 13:16:44:977',2,114.791115,368.012238,417.6745,2
256,'2022/02/21 13:16:45:076',2,109.590149,367.865479,421.294434,2
257,'2022/02/21 13:16:45:175',2,81.841309,364.156555,388.741547,2
258,'2022/02/21 13:16:45:274',2,14.142136,370.936646,367.153931,2
259,'2022/02/21 13:16:46:944',2,195.028198,204.083313,9.055386,2
260,'2022/02/21 13:16:48:592',2,167.092789,162.606888,168.074387,2
261,'2022/02/21 13:16:48:765',2,152.31546,97.800819,98.412399,2
262,'2022/02/21 13:16:48:840',2,176.255493,112.294258,74.431175,2
263,'2022/02/21 13:16:49:022',2,136.312149,143.600143,127.882759,2
264,'2022/02/21 13:16:50:277',2,123.967735,182.279999,146.321564,2
265,'2022/02/21 13:16:50:443',2,152.738342,223.143448,167.044907,2
266,'2022/02/21 13:16:50:805',2,174.040222,186.967911,70.60453,2
